seed,success,termination/status,checkpoint,log_path,actions,tactile_changes
1000000,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,171,170
1000001,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,195,194
1000002,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,140,139
1000003,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,160,159
1000004,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,188,187
1000005,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,293,292
1000006,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,145,144
1000007,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,206,205
1000008,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,178,177
1000009,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,180,179
1000010,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,171,170
1000011,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,263,262
1000012,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,188,187
1000013,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,178,177
1000014,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,214,213
1000015,0,timeout,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,300,299
1000016,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,186,185
1000017,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,176,175
1000018,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,234,233
1000019,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,236,235
1000020,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,265,264
1000021,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,209,208
1000022,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,199,198
1000023,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,155,154
1000024,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,205,204
1000025,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,207,206
1000026,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,199,198
1000027,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,227,226
1000028,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,211,210
1000029,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,174,173
1000030,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,196,195
1000031,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,201,200
1000032,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,227,226
1000033,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,261,260
1000034,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,168,167
1000035,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,201,200
1000036,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,236,235
1000037,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,99,98
1000038,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,222,221
1000039,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,191,190
1000040,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,185,184
1000041,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,207,206
1000042,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,267,266
